Unnamed: 0,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2850,2020/03/24 06:00:00,2020-03-24T06:00:00,"{'bid': 1562.76, 'ask': 1564.76, 'lastTraded': None}","{'bid': 1571.92, 'ask': 1573.92, 'lastTraded': None}","{'bid': 1576.98, 'ask': 1578.98, 'lastTraded': None}","{'bid': 1557.26, 'ask': 1559.26, 'lastTraded': None}",9471
2851,2020/03/24 08:00:00,2020-03-24T08:00:00,"{'bid': 1571.9, 'ask': 1573.9, 'lastTraded': None}","{'bid': 1580.27, 'ask': 1585.27, 'lastTraded': None}","{'bid': 1597.33, 'ask': 1602.33, 'lastTraded': None}","{'bid': 1568.19, 'ask': 1570.19, 'lastTraded': None}",11301
2852,2020/03/24 10:00:00,2020-03-24T10:00:00,"{'bid': 1583.16, 'ask': 1588.16, 'lastTraded': None}","{'bid': 1589.51, 'ask': 1596.24, 'lastTraded': None}","{'bid': 1610.34, 'ask': 1613.58, 'lastTraded': None}","{'bid': 1576.45, 'ask': 1581.45, 'lastTraded': None}",5610
2853,2020/03/24 12:00:00,2020-03-24T12:00:00,"{'bid': 1596.49, 'ask': 1596.14, 'lastTraded': None}","{'bid': 1597.68, 'ask': 1606.24, 'lastTraded': None}","{'bid': 1614.28, 'ask': 1622.49, 'lastTraded': None}","{'bid': 1583.49, 'ask': 1592.47, 'lastTraded': None}",8811
2854,2020/03/24 14:00:00,2020-03-24T14:00:00,"{'bid': 1597.65, 'ask': 1606.25, 'lastTraded': None}","{'bid': 1615.75, 'ask': 1625.75, 'lastTraded': None}","{'bid': 1621.85, 'ask': 1630.49, 'lastTraded': None}","{'bid': 1581.94, 'ask': 1587.8, 'lastTraded': None}",11901
2855,2020/03/24 16:00:00,2020-03-24T16:00:00,"{'bid': 1614.53, 'ask': 1624.53, 'lastTraded': None}","{'bid': 1624.85, 'ask': 1627.4, 'lastTraded': None}","{'bid': 1626.6, 'ask': 1633.98, 'lastTraded': None}","{'bid': 1603.97, 'ask': 1613.97, 'lastTraded': None}",13976
2856,2020/03/24 18:00:00,2020-03-24T18:00:00,"{'bid': 1624.81, 'ask': 1627.45, 'lastTraded': None}","{'bid': 1621.7, 'ask': 1631.06, 'lastTraded': None}","{'bid': 1630.5, 'ask': 1640.43, 'lastTraded': None}","{'bid': 1608.26, 'ask': 1618.26, 'lastTraded': None}",8516
2857,2020/03/24 20:00:00,2020-03-24T20:00:00,"{'bid': 1621.94, 'ask': 1629.62, 'lastTraded': None}","{'bid': 1623.15, 'ask': 1633.15, 'lastTraded': None}","{'bid': 1628.2, 'ask': 1635.72, 'lastTraded': None}","{'bid': 1611.85, 'ask': 1621.85, 'lastTraded': None}",2726
2858,2020/03/24 22:00:00,2020-03-24T22:00:00,"{'bid': 1611.85, 'ask': 1621.85, 'lastTraded': None}","{'bid': 1629.34, 'ask': 1636.77, 'lastTraded': None}","{'bid': 1636.8, 'ask': 1644.22, 'lastTraded': None}","{'bid': 1609.13, 'ask': 1619.13, 'lastTraded': None}",5861
2859,2020/03/25 00:00:00,2020-03-25T00:00:00,"{'bid': 1630.55, 'ask': 1640.45, 'lastTraded': None}","{'bid': 1616.97, 'ask': 1618.12, 'lastTraded': None}","{'bid': 1631.54, 'ask': 1640.67, 'lastTraded': None}","{'bid': 1604.52, 'ask': 1614.52, 'lastTraded': None}",7249
2860,2020/03/25 02:00:00,2020-03-25T02:00:00,"{'bid': 1616.98, 'ask': 1622.74, 'lastTraded': None}","{'bid': 1611.72, 'ask': 1618.47, 'lastTraded': None}","{'bid': 1620.25, 'ask': 1624.25, 'lastTraded': None}","{'bid': 1600.19, 'ask': 1608.48, 'lastTraded': None}",10657
2861,2020/03/25 04:00:00,2020-03-25T04:00:00,"{'bid': 1611.55, 'ask': 1620.26, 'lastTraded': None}","{'bid': 1611.14, 'ask': 1615.92, 'lastTraded': None}","{'bid': 1616.56, 'ask': 1624.47, 'lastTraded': None}","{'bid': 1599.58, 'ask': 1606.3, 'lastTraded': None}",9084
2862,2020/03/25 06:00:00,2020-03-25T06:00:00,"{'bid': 1611.4, 'ask': 1615.55, 'lastTraded': None}","{'bid': 1601.75, 'ask': 1609.21, 'lastTraded': None}","{'bid': 1612.95, 'ask': 1619.28, 'lastTraded': None}","{'bid': 1594.92, 'ask': 1604.44, 'lastTraded': None}",7721
2863,2020/03/25 08:00:00,2020-03-25T08:00:00,"{'bid': 1601.73, 'ask': 1609.25, 'lastTraded': None}","{'bid': 1620.1, 'ask': 1626.0, 'lastTraded': None}","{'bid': 1625.18, 'ask': 1634.36, 'lastTraded': None}","{'bid': 1590.97, 'ask': 1600.97, 'lastTraded': None}",9805
2864,2020/03/25 10:00:00,2020-03-25T10:00:00,"{'bid': 1619.6, 'ask': 1626.25, 'lastTraded': None}","{'bid': 1607.19, 'ask': 1612.27, 'lastTraded': None}","{'bid': 1627.88, 'ask': 1631.67, 'lastTraded': None}","{'bid': 1594.81, 'ask': 1604.81, 'lastTraded': None}",11219
2865,2020/03/25 12:00:00,2020-03-25T12:00:00,"{'bid': 1607.2, 'ask': 1610.79, 'lastTraded': None}","{'bid': 1605.35, 'ask': 1609.69, 'lastTraded': None}","{'bid': 1618.9, 'ask': 1624.22, 'lastTraded': None}","{'bid': 1595.42, 'ask': 1603.97, 'lastTraded': None}",15818
2866,2020/03/25 14:00:00,2020-03-25T14:00:00,"{'bid': 1605.2, 'ask': 1609.7, 'lastTraded': None}","{'bid': 1611.28, 'ask': 1619.28, 'lastTraded': None}","{'bid': 1614.93, 'ask': 1622.93, 'lastTraded': None}","{'bid': 1599.22, 'ask': 1606.17, 'lastTraded': None}",16801
2867,2020/03/25 16:00:00,2020-03-25T16:00:00,"{'bid': 1611.36, 'ask': 1619.36, 'lastTraded': None}","{'bid': 1607.5, 'ask': 1615.5, 'lastTraded': None}","{'bid': 1613.95, 'ask': 1621.95, 'lastTraded': None}","{'bid': 1603.91, 'ask': 1612.71, 'lastTraded': None}",13786
2868,2020/03/25 18:00:00,2020-03-25T18:00:00,"{'bid': 1607.52, 'ask': 1615.52, 'lastTraded': None}","{'bid': 1604.9, 'ask': 1612.9, 'lastTraded': None}","{'bid': 1612.48, 'ask': 1620.48, 'lastTraded': None}","{'bid': 1604.3, 'ask': 1612.3, 'lastTraded': None}",12702
2869,2020/03/25 20:00:00,2020-03-25T20:00:00,"{'bid': 1605.08, 'ask': 1613.08, 'lastTraded': None}","{'bid': 1614.08, 'ask': 1620.08, 'lastTraded': None}","{'bid': 1614.6, 'ask': 1620.6, 'lastTraded': None}","{'bid': 1603.88, 'ask': 1611.88, 'lastTraded': None}",2411
2870,2020/03/25 22:00:00,2020-03-25T22:00:00,"{'bid': 1612.68, 'ask': 1618.68, 'lastTraded': None}","{'bid': 1608.23, 'ask': 1614.23, 'lastTraded': None}","{'bid': 1615.07, 'ask': 1621.07, 'lastTraded': None}","{'bid': 1603.9, 'ask': 1609.9, 'lastTraded': None}",6400
2871,2020/03/26 00:00:00,2020-03-26T00:00:00,"{'bid': 1608.17, 'ask': 1614.17, 'lastTraded': None}","{'bid': 1603.66, 'ask': 1609.66, 'lastTraded': None}","{'bid': 1610.26, 'ask': 1616.26, 'lastTraded': None}","{'bid': 1596.52, 'ask': 1602.52, 'lastTraded': None}",11307
2872,2020/03/26 02:00:00,2020-03-26T02:00:00,"{'bid': 1603.64, 'ask': 1609.64, 'lastTraded': None}","{'bid': 1603.76, 'ask': 1609.76, 'lastTraded': None}","{'bid': 1605.96, 'ask': 1612.32, 'lastTraded': None}","{'bid': 1594.23, 'ask': 1601.18, 'lastTraded': None}",6929
2873,2020/03/26 04:00:00,2020-03-26T04:00:00,"{'bid': 1603.75, 'ask': 1609.75, 'lastTraded': None}","{'bid': 1597.98, 'ask': 1603.98, 'lastTraded': None}","{'bid': 1604.26, 'ask': 1610.26, 'lastTraded': None}","{'bid': 1596.71, 'ask': 1602.71, 'lastTraded': None}",5900
2874,2020/03/26 06:00:00,2020-03-26T06:00:00,"{'bid': 1598.15, 'ask': 1604.15, 'lastTraded': None}","{'bid': 1601.91, 'ask': 1607.91, 'lastTraded': None}","{'bid': 1604.35, 'ask': 1610.35, 'lastTraded': None}","{'bid': 1594.79, 'ask': 1601.13, 'lastTraded': None}",7592
2875,2020/03/26 08:00:00,2020-03-26T08:00:00,"{'bid': 1601.8, 'ask': 1607.8, 'lastTraded': None}","{'bid': 1608.42, 'ask': 1614.42, 'lastTraded': None}","{'bid': 1608.62, 'ask': 1614.62, 'lastTraded': None}","{'bid': 1599.66, 'ask': 1605.66, 'lastTraded': None}",6036
2876,2020/03/26 10:00:00,2020-03-26T10:00:00,"{'bid': 1608.47, 'ask': 1614.47, 'lastTraded': None}","{'bid': 1617.36, 'ask': 1622.36, 'lastTraded': None}","{'bid': 1621.1, 'ask': 1626.1, 'lastTraded': None}","{'bid': 1607.31, 'ask': 1613.31, 'lastTraded': None}",8281
2877,2020/03/26 12:00:00,2020-03-26T12:00:00,"{'bid': 1617.41, 'ask': 1622.41, 'lastTraded': None}","{'bid': 1628.61, 'ask': 1633.61, 'lastTraded': None}","{'bid': 1634.5, 'ask': 1640.0, 'lastTraded': None}","{'bid': 1615.42, 'ask': 1620.42, 'lastTraded': None}",21915
2878,2020/03/26 14:00:00,2020-03-26T14:00:00,"{'bid': 1628.73, 'ask': 1633.73, 'lastTraded': None}","{'bid': 1625.77, 'ask': 1630.77, 'lastTraded': None}","{'bid': 1637.18, 'ask': 1642.18, 'lastTraded': None}","{'bid': 1621.53, 'ask': 1626.53, 'lastTraded': None}",18981
